Elia	De la Fuente	Calleja
Cloe	Olmeda	Sedano
Gabriela	Calles	Barriga
Mohamed	Usaga	Machado
Angel	Molleda	Cabrera
Arlet	Vanegas	Pena
Vera	Venegas	Pacheco
Aurora	Velásquez	Travieso
Gabriela	Morillo	Busto
India	Zamora	Cárdenas
Maria	Lozano	Navaro
Jan	Salmón	Céspedes
Nahia	Peraza	Gayoso
Rodrigo	Fuentes	Paniagua
Axel	Olivar	Funez
Youssef	Alanis	De Aguilar
Isabel	Ozuno	Donato
Africa	Naranjo	Palomino
Carolina	Vela	Becerra
Arnau	Nieto	Valenzuela
Noa	Rueda	Cárdenas
Enzo	De la Rosa	Lández
Carla	Vívez	Maduro
Thiago	Sáenz	Taracena
Yasmin	De la Rosa	Vela
Cristina	Paniagua	Juárez
Lucia	Reyes	Galán
Dario	Lozano	Benítez
Jose	Páramo	Rojas
Nicolas	Pineda	Guerrero
Elias	Maduro	Ferreira
Celia	Soza	Merazo
Alex	Amador	Marrero
Amira	Caballero	Funez
Marco	Valentín	De la Cruz
Marina	Jerano	Alzate
Alonso	Guzmán	Cevedo
Nahia	Uveda	Mantilla
Antonio	Minas	Portillo
Carla	Sáenz	Mijares
Alex	Hierro	De la Rosa
Lia	Del Castillo	Sandino
Marina	Darío	Lozano
Maria	Cepeda	Galván
Berta	Vela	Pedroza
Celia	Bazán	Bolaños
Mia	Meza	Guardiola
